n,x,y,f,rel
1,1,1,1,0.031
2,2,1,1,0.188
3,2,2,1,0.219
4,1,2,1,0.375
5,1,3,1,0.406
6,2,3,1,0.562
7,3,3,0,0.594
8,3,2,1,0.750
9,3,1,0,0.781
10,4,1,0,0.938
11,4,2,0,0.969
12,4,3,0,1.125
13,4,4,0,1.156
14,3,4,0,1.312
15,2,4,0,1.344
16,1,4,1,0.156
17,1,5,1,0.188
18,2,5,0,0.344
19,3,5,0,0.375
20,4,5,1,0.531
21,5,5,1,0.562
22,5,4,0,0.719
23,5,3,0,0.750
24,5,2,0,0.906
25,5,1,0,0.938
26,6,1,0,1.094
27,6,2,0,1.125
28,6,3,0,1.281
29,6,4,0,1.312
30,6,5,0,1.469
31,6,6,0,1.500
32,5,6,1,0.625
33,4,6,1,0.656
34,3,6,0,0.812
35,2,6,0,0.844
36,1,6,1,1.000
37,1,7,0,1.031
38,2,7,0,1.188
39,3,7,0,1.219
40,4,7,0,1.375
41,5,7,0,1.406
42,6,7,0,1.562
43,7,7,0,1.594
44,7,6,0,1.750
45,7,5,0,1.781
46,7,4,0,1.938
47,7,3,0,1.969
48,7,2,0,0.781
49,7,1,0,0.812
50,8,1,0,0.969
51,8,2,0,1.000
52,8,3,0,1.156
53,8,4,0,1.188
54,8,5,0,1.344
55,8,6,0,1.375
56,8,7,0,1.531
57,8,8,0,1.562
58,7,8,0,1.719
59,6,8,0,1.750
60,5,8,0,1.906
61,4,8,0,1.938
62,3,8,0,2.094
63,2,8,0,2.125
64,1,8,1,0.000
