n,x,y,f,rel
1,1,1,1,0.069
2,2,1,1,0.036
3,2,2,1,0.105
4,1,2,1,0.207
5,1,3,1,0.276
6,2,3,1,0.242
7,3,3,1,0.311
8,3,2,1,0.442
9,3,1,1,0.511
10,4,1,1,0.478
11,4,2,1,0.547
12,4,3,1,0.649
13,4,4,0,0.718
14,3,4,1,0.685
15,2,4,0,0.754
16,1,4,1,0.002
17,1,5,1,0.071
18,2,5,1,0.038
19,3,5,1,0.107
20,4,5,1,0.209
21,5,5,1,0.278
22,5,4,1,0.245
23,5,3,1,0.313
24,5,2,1,0.444
25,5,1,1,0.513
26,6,1,1,0.480
27,6,2,1,0.549
28,6,3,1,0.651
29,6,4,0,0.720
30,6,5,1,0.687
31,6,6,0,0.756
32,5,6,1,0.023
33,4,6,1,0.092
34,3,6,1,0.058
35,2,6,1,0.127
36,1,6,1,0.230
37,1,7,1,0.299
38,2,7,1,0.265
39,3,7,1,0.334
40,4,7,1,0.465
41,5,7,1,0.534
42,6,7,1,0.501
43,7,7,1,0.570
44,7,6,1,0.672
45,7,5,0,0.741
46,7,4,1,0.707
47,7,3,0,0.776
48,7,2,1,0.025
49,7,1,1,0.094
50,8,1,1,0.061
51,8,2,1,0.130
52,8,3,1,0.232
53,8,4,1,0.301
54,8,5,1,0.267
55,8,6,1,0.336
56,8,7,1,0.467
57,8,8,1,0.536
58,7,8,1,0.503
59,6,8,1,0.572
60,5,8,1,0.674
61,4,8,0,0.743
62,3,8,1,0.710
63,2,8,0,0.779
64,1,8,1,0.101
65,1,9,1,0.170
66,2,9,1,0.137
67,3,9,1,0.206
68,4,9,1,0.308
69,5,9,1,0.377
70,6,9,1,0.344
71,7,9,1,0.413
72,8,9,1,0.544
73,9,9,1,0.612
74,9,8,1,0.579
75,9,7,1,0.648
76,9,6,1,0.750
77,9,5,0,0.819
78,9,4,1,0.786
79,9,3,0,0.855
80,9,2,1,0.103
81,9,1,1,0.172
82,10,1,1,0.139
83,10,2,1,0.208
84,10,3,1,0.310
85,10,4,1,0.379
86,10,5,1,0.346
87,10,6,1,0.415
88,10,7,1,0.546
89,10,8,1,0.615
90,10,9,1,0.581
91,10,10,1,0.650
92,9,10,1,0.752
93,8,10,0,0.821
94,7,10,1,0.788
95,6,10,0,0.857
96,5,10,1,0.124
97,4,10,1,0.193
98,3,10,1,0.160
99,2,10,1,0.229
100,1,10,1,0.331
101,1,11,1,0.400
102,2,11,1,0.367
103,3,11,1,0.435
104,4,11,1,0.566
105,5,11,1,0.635
106,6,11,1,0.602
107,7,11,1,0.671
108,8,11,1,0.773
109,9,11,0,0.842
110,10,11,1,0.809
111,11,11,0,0.878
112,11,10,1,0.126
113,11,9,1,0.195
114,11,8,1,0.162
115,11,7,1,0.231
116,11,6,1,0.333
117,11,5,1,0.402
118,11,4,1,0.369
119,11,3,1,0.438
120,11,2,1,0.568
121,11,1,1,0.637
122,12,1,1,0.604
123,12,2,1,0.673
124,12,3,1,0.775
125,12,4,0,0.844
126,12,5,1,0.811
127,12,6,0,0.880
128,12,7,1,0.482
129,12,8,1,0.551
130,12,9,1,0.518
131,12,10,1,0.587
132,12,11,1,0.689
133,12,12,1,0.758
134,11,12,1,0.725
135,10,12,1,0.794
136,9,12,1,0.925
137,8,12,1,0.994
138,7,12,1,0.960
139,6,12,0,1.029
140,5,12,0,1.131
141,4,12,0,1.200
142,3,12,0,1.167
143,2,12,0,1.236
144,1,12,1,0.485
145,1,13,1,0.553
146,2,13,1,0.520
147,3,13,1,0.589
148,4,13,1,0.691
149,5,13,1,0.760
150,6,13,1,0.727
151,7,13,1,0.796
152,8,13,1,0.927
153,9,13,0,0.996
154,10,13,1,0.962
155,11,13,0,1.031
156,12,13,0,1.134
157,13,13,0,1.202
158,13,12,0,1.169
159,13,11,0,1.238
160,13,10,1,0.505
161,13,9,1,0.574
162,13,8,1,0.541
163,13,7,1,0.610
164,13,6,1,0.712
165,13,5,1,0.781
166,13,4,1,0.748
167,13,3,1,0.817
168,13,2,1,0.947
169,13,1,0,1.016
170,14,1,1,0.983
171,14,2,0,1.052
172,14,3,0,1.154
173,14,4,0,1.223
174,14,5,0,1.190
175,14,6,0,1.259
176,14,7,1,0.507
177,14,8,1,0.576
178,14,9,1,0.543
179,14,10,1,0.612
180,14,11,1,0.714
181,14,12,1,0.783
182,14,13,1,0.750
183,14,14,1,0.819
184,13,14,1,0.950
185,12,14,0,1.019
186,11,14,1,0.985
187,10,14,0,1.054
188,9,14,0,1.156
189,8,14,0,1.225
190,7,14,0,1.192
191,6,14,0,1.261
192,5,14,1,0.584
193,4,14,1,0.653
194,3,14,1,0.619
195,2,14,1,0.688
196,1,14,1,0.790
197,1,15,1,0.859
198,2,15,1,0.826
199,3,15,1,0.895
200,4,15,0,1.026
201,5,15,0,1.095
202,6,15,0,1.062
203,7,15,0,1.131
204,8,15,0,1.233
205,9,15,0,1.302
206,10,15,0,1.268
207,11,15,0,1.337
208,12,15,1,0.586
209,13,15,1,0.655
210,14,15,1,0.622
211,15,15,1,0.690
212,15,14,1,0.793
213,15,13,1,0.862
214,15,12,1,0.828
215,15,11,1,0.897
216,15,10,0,1.028
217,15,9,0,1.097
218,15,8,0,1.064
219,15,7,0,1.133
220,15,6,0,1.235
221,15,5,0,1.304
222,15,4,0,1.270
223,15,3,0,1.339
224,15,2,1,0.607
225,15,1,1,0.675
226,16,1,1,0.642
227,16,2,1,0.711
228,16,3,1,0.813
229,16,4,1,0.882
230,16,5,1,0.849
231,16,6,1,0.918
232,16,7,0,1.049
233,16,8,0,1.118
234,16,9,0,1.084
235,16,10,0,1.153
236,16,11,0,1.256
237,16,12,0,1.324
238,16,13,0,1.291
239,16,14,0,1.360
240,16,15,1,0.609
241,16,16,1,0.678
242,15,16,1,0.644
243,14,16,1,0.713
244,13,16,1,0.815
245,12,16,1,0.884
246,11,16,1,0.851
247,10,16,1,0.920
248,9,16,0,1.051
249,8,16,0,1.120
250,7,16,0,1.087
251,6,16,0,1.156
252,5,16,0,1.258
253,4,16,0,1.327
254,3,16,0,1.293
255,2,16,0,1.362
256,1,16,1,0.046
257,1,17,1,0.115
258,2,17,1,0.082
259,3,17,1,0.151
260,4,17,1,0.253
261,5,17,1,0.322
262,6,17,1,0.289
263,7,17,1,0.358
264,8,17,1,0.488
265,9,17,1,0.557
266,10,17,1,0.524
267,11,17,1,0.593
268,12,17,1,0.695
269,13,17,0,0.764
270,14,17,1,0.731
271,15,17,0,0.800
272,16,17,1,0.048
273,17,17,1,0.117
274,17,16,1,0.084
275,17,15,1,0.153
276,17,14,1,0.255
277,17,13,1,0.324
278,17,12,1,0.291
279,17,11,1,0.360
280,17,10,1,0.491
281,17,9,1,0.560
282,17,8,1,0.526
283,17,7,1,0.595
284,17,6,1,0.697
285,17,5,0,0.766
286,17,4,1,0.733
287,17,3,0,0.802
288,17,2,1,0.069
289,17,1,1,0.138
290,18,1,1,0.105
291,18,2,1,0.174
292,18,3,1,0.276
293,18,4,1,0.345
294,18,5,1,0.311
295,18,6,1,0.380
296,18,7,1,0.511
297,18,8,1,0.580
298,18,9,1,0.547
299,18,10,1,0.616
300,18,11,1,0.718
301,18,12,0,0.787
302,18,13,1,0.754
303,18,14,0,0.823
304,18,15,1,0.071
305,18,16,1,0.140
306,18,17,1,0.107
307,18,18,1,0.176
308,17,18,1,0.278
309,16,18,1,0.347
310,15,18,1,0.314
311,14,18,1,0.383
312,13,18,1,0.513
313,12,18,1,0.582
314,11,18,1,0.549
315,10,18,1,0.618
316,9,18,1,0.720
317,8,18,0,0.789
318,7,18,1,0.756
319,6,18,0,0.825
320,5,18,1,0.148
321,4,18,1,0.216
322,3,18,1,0.183
323,2,18,1,0.252
324,1,18,1,0.354
325,1,19,1,0.423
326,2,19,1,0.390
327,3,19,1,0.459
328,4,19,1,0.590
329,5,19,1,0.659
330,6,19,1,0.625
331,7,19,1,0.694
332,8,19,0,0.797
333,9,19,0,0.865
334,10,19,0,0.832
335,11,19,0,0.901
336,12,19,1,0.150
337,13,19,1,0.219
338,14,19,1,0.185
339,15,19,1,0.254
340,16,19,1,0.356
341,17,19,1,0.425
342,18,19,1,0.392
343,19,19,1,0.461
344,19,18,1,0.592
345,19,17,1,0.661
346,19,16,1,0.628
347,19,15,1,0.696
348,19,14,0,0.799
349,19,13,0,0.868
350,19,12,0,0.834
351,19,11,0,0.903
352,19,10,1,0.170
353,19,9,1,0.239
354,19,8,1,0.206
355,19,7,1,0.275
356,19,6,1,0.377
357,19,5,1,0.446
358,19,4,1,0.413
359,19,3,1,0.482
360,19,2,1,0.613
361,19,1,1,0.682
362,20,1,1,0.648
363,20,2,1,0.717
364,20,3,0,0.819
365,20,4,0,0.888
366,20,5,0,0.855
367,20,6,0,0.924
368,20,7,1,0.172
369,20,8,1,0.241
370,20,9,1,0.208
371,20,10,1,0.277
372,20,11,1,0.379
373,20,12,1,0.448
374,20,13,1,0.415
375,20,14,1,0.484
376,20,15,1,0.615
377,20,16,1,0.684
378,20,17,1,0.650
379,20,18,1,0.719
380,20,19,0,0.821
381,20,20,0,0.890
382,19,20,0,0.857
383,18,20,0,0.926
384,17,20,1,0.529
385,16,20,1,0.598
386,15,20,1,0.564
387,14,20,1,0.633
388,13,20,1,0.735
389,12,20,1,0.804
390,11,20,1,0.771
391,10,20,1,0.840
392,9,20,0,0.971
393,8,20,0,1.040
394,7,20,0,1.007
395,6,20,0,1.075
396,5,20,0,1.178
397,4,20,0,1.247
398,3,20,0,1.213
399,2,20,0,1.282
400,1,20,1,0.531
401,1,21,1,0.600
402,2,21,1,0.566
403,3,21,1,0.635
404,4,21,1,0.738
405,5,21,1,0.806
406,6,21,1,0.773
407,7,21,1,0.842
408,8,21,0,0.973
409,9,21,0,1.042
410,10,21,0,1.009
411,11,21,0,1.078
412,12,21,0,1.180
413,13,21,0,1.249
414,14,21,0,1.215
415,15,21,0,1.284
416,16,21,1,0.551
417,17,21,1,0.620
418,18,21,1,0.587
419,19,21,1,0.656
420,20,21,1,0.758
421,21,21,1,0.827
422,21,20,1,0.794
423,21,19,1,0.863
424,21,18,0,0.994
425,21,17,0,1.063
426,21,16,0,1.029
427,21,15,0,1.098
428,21,14,0,1.200
429,21,13,0,1.269
430,21,12,0,1.236
431,21,11,0,1.305
432,21,10,1,0.554
433,21,9,1,0.623
434,21,8,1,0.589
435,21,7,1,0.658
436,21,6,1,0.760
437,21,5,1,0.829
438,21,4,1,0.796
439,21,3,1,0.865
440,21,2,0,0.996
441,21,1,0,1.065
442,22,1,0,1.031
443,22,2,0,1.100
444,22,3,0,1.203
445,22,4,0,1.272
446,22,5,0,1.238
447,22,6,0,1.307
448,22,7,1,0.630
449,22,8,1,0.699
450,22,9,1,0.666
451,22,10,1,0.735
452,22,11,0,0.837
453,22,12,0,0.906
454,22,13,0,0.872
455,22,14,0,0.941
456,22,15,0,1.072
457,22,16,0,1.141
458,22,17,0,1.108
459,22,18,0,1.177
460,22,19,0,1.279
461,22,20,0,1.348
462,22,21,0,1.315
463,22,22,0,1.384
464,21,22,1,0.632
465,20,22,1,0.701
466,19,22,1,0.668
467,18,22,1,0.737
468,17,22,0,0.839
469,16,22,0,0.908
470,15,22,0,0.875
471,14,22,0,0.943
472,13,22,0,1.074
473,12,22,0,1.143
474,11,22,0,1.110
475,10,22,0,1.179
476,9,22,0,1.281
477,8,22,0,1.350
478,7,22,0,1.317
479,6,22,0,1.386
480,5,22,1,0.653
481,4,22,1,0.722
482,3,22,1,0.688
483,2,22,1,0.757
484,1,22,0,0.860
485,1,23,0,0.928
486,2,23,0,0.895
487,3,23,0,0.964
488,4,23,0,1.095
489,5,23,0,1.164
490,6,23,0,1.131
491,7,23,0,1.200
492,8,23,0,1.302
493,9,23,0,1.371
494,10,23,0,1.337
495,11,23,0,1.406
496,12,23,1,0.655
497,13,23,1,0.724
498,14,23,1,0.691
499,15,23,1,0.760
500,16,23,0,0.862
501,17,23,0,0.931
502,18,23,0,0.897
503,19,23,0,0.966
504,20,23,0,1.097
505,21,23,0,1.166
506,22,23,0,1.133
507,23,23,0,1.202
508,23,22,0,1.304
509,23,21,0,1.373
510,23,20,0,1.340
511,23,19,0,1.408
512,23,18,1,0.038
513,23,17,1,0.106
514,23,16,1,0.073
515,23,15,1,0.142
516,23,14,1,0.244
517,23,13,1,0.313
518,23,12,1,0.280
519,23,11,1,0.349
520,23,10,1,0.480
521,23,9,1,0.549
522,23,8,1,0.515
523,23,7,1,0.584
524,23,6,1,0.687
525,23,5,0,0.755
526,23,4,1,0.722
527,23,3,0,0.791
528,23,2,1,0.040
529,23,1,1,0.109
530,24,1,1,0.075
531,24,2,1,0.144
532,24,3,1,0.246
533,24,4,1,0.315
534,24,5,1,0.282
535,24,6,1,0.351
536,24,7,1,0.482
537,24,8,1,0.551
538,24,9,1,0.518
539,24,10,1,0.587
540,24,11,1,0.689
541,24,12,0,0.758
542,24,13,1,0.724
543,24,14,0,0.793
544,24,15,1,0.060
545,24,16,1,0.129
546,24,17,1,0.096
547,24,18,1,0.165
548,24,19,1,0.267
549,24,20,1,0.336
550,24,21,1,0.303
551,24,22,1,0.372
552,24,23,1,0.503
553,24,24,1,0.572
554,23,24,1,0.538
555,22,24,1,0.607
556,21,24,1,0.709
557,20,24,0,0.778
558,19,24,1,0.745
559,18,24,0,0.814
560,17,24,1,0.063
561,16,24,1,0.131
562,15,24,1,0.098
563,14,24,1,0.167
564,13,24,1,0.269
565,12,24,1,0.338
566,11,24,1,0.305
567,10,24,1,0.374
568,9,24,1,0.505
569,8,24,1,0.574
570,7,24,1,0.540
571,6,24,1,0.609
572,5,24,1,0.711
573,4,24,0,0.780
574,3,24,1,0.747
575,2,24,0,0.816
576,1,24,1,0.139
577,1,25,1,0.208
578,2,25,1,0.175
579,3,25,1,0.243
580,4,25,1,0.346
581,5,25,1,0.415
582,6,25,1,0.381
583,7,25,1,0.450
584,8,25,1,0.581
585,9,25,1,0.650
586,10,25,1,0.617
587,11,25,1,0.686
588,12,25,0,0.788
589,13,25,0,0.857
590,14,25,0,0.824
591,15,25,0,0.892
592,16,25,1,0.141
593,17,25,1,0.210
594,18,25,1,0.177
595,19,25,1,0.246
596,20,25,1,0.348
597,21,25,1,0.417
598,22,25,1,0.383
599,23,25,1,0.452
600,24,25,1,0.583
601,25,25,1,0.652
602,25,24,1,0.619
603,25,23,1,0.688
604,25,22,0,0.790
605,25,21,0,0.859
606,25,20,0,0.826
607,25,19,0,0.895
608,25,18,1,0.162
609,25,17,1,0.231
610,25,16,1,0.197
611,25,15,1,0.266
612,25,14,1,0.368
613,25,13,1,0.437
614,25,12,1,0.404
615,25,11,1,0.473
616,25,10,1,0.604
617,25,9,1,0.673
618,25,8,1,0.640
619,25,7,1,0.709
620,25,6,0,0.811
621,25,5,0,0.880
622,25,4,0,0.846
623,25,3,0,0.915
624,25,2,1,0.164
625,25,1,1,0.233
626,26,1,1,0.199
627,26,2,1,0.268
628,26,3,1,0.371
629,26,4,1,0.440
630,26,5,1,0.406
631,26,6,1,0.475
632,26,7,1,0.606
633,26,8,1,0.675
634,26,9,1,0.642
635,26,10,0,0.711
636,26,11,0,0.813
637,26,12,0,0.882
638,26,13,0,0.848
639,26,14,0,0.917
640,26,15,1,0.520
641,26,16,1,0.589
642,26,17,1,0.556
643,26,18,1,0.625
644,26,19,1,0.727
645,26,20,1,0.796
646,26,21,1,0.762
647,26,22,1,0.831
648,26,23,1,0.962
649,26,24,0,1.031
650,26,25,1,0.998
651,26,26,0,1.067
652,25,26,0,1.169
653,24,26,0,1.238
654,23,26,0,1.205
655,22,26,0,1.274
656,21,26,1,0.522
657,20,26,1,0.591
658,19,26,1,0.558
659,18,26,1,0.627
660,17,26,1,0.729
661,16,26,1,0.798
662,15,26,1,0.765
663,14,26,1,0.833
664,13,26,1,0.964
665,12,26,0,1.033
666,11,26,1,1.000
667,10,26,0,1.069
668,9,26,0,1.171
669,8,26,0,1.240
670,7,26,0,1.207
671,6,26,0,1.276
672,5,26,1,0.543
673,4,26,1,0.612
674,3,26,1,0.578
675,2,26,1,0.647
676,1,26,1,0.750
677,1,27,1,0.818
678,2,27,1,0.785
679,3,27,1,0.854
680,4,27,1,0.985
681,5,27,0,1.054
682,6,27,0,1.021
683,7,27,0,1.090
684,8,27,0,1.192
685,9,27,0,1.261
686,10,27,0,1.227
687,11,27,0,1.296
688,12,27,1,0.545
689,13,27,1,0.614
690,14,27,1,0.581
691,15,27,1,0.650
692,16,27,1,0.752
693,17,27,1,0.821
694,18,27,1,0.787
695,19,27,1,0.856
696,20,27,1,0.987
697,21,27,0,1.056
698,22,27,0,1.023
699,23,27,0,1.092
700,24,27,0,1.194
701,25,27,0,1.263
702,26,27,0,1.230
703,27,27,0,1.299
704,27,26,1,0.621
705,27,25,1,0.690
706,27,24,1,0.657
707,27,23,1,0.726
708,27,22,1,0.828
709,27,21,1,0.897
710,27,20,1,0.864
711,27,19,1,0.933
712,27,18,0,1.064
713,27,17,0,1.132
714,27,16,0,1.099
715,27,15,0,1.168
716,27,14,0,1.270
717,27,13,0,1.339
718,27,12,0,1.306
719,27,11,0,1.375
720,27,10,1,0.623
721,27,9,1,0.692
722,27,8,1,0.659
723,27,7,1,0.728
724,27,6,1,0.830
725,27,5,1,0.899
726,27,4,1,0.866
727,27,3,1,0.935
728,27,2,0,1.066
729,27,1,0,1.135
730,28,1,0,1.101
731,28,2,0,1.170
732,28,3,0,1.272
733,28,4,0,1.341
734,28,5,0,1.308
735,28,6,0,1.377
736,28,7,1,0.644
737,28,8,1,0.713
738,28,9,1,0.680
739,28,10,1,0.749
740,28,11,1,0.851
741,28,12,1,0.920
742,28,13,1,0.887
743,28,14,1,0.955
744,28,15,0,1.086
745,28,16,0,1.155
746,28,17,0,1.122
747,28,18,0,1.191
748,28,19,0,1.293
749,28,20,0,1.362
750,28,21,0,1.329
751,28,22,0,1.398
752,28,23,1,0.646
753,28,24,1,0.715
754,28,25,1,0.682
755,28,26,1,0.751
756,28,27,1,0.853
757,28,28,1,0.922
758,27,28,1,0.889
759,26,28,1,0.958
760,25,28,0,1.088
761,24,28,0,1.157
762,23,28,0,1.124
763,22,28,0,1.193
764,21,28,0,1.295
765,20,28,0,1.364
766,19,28,0,1.331
767,18,28,0,1.400
768,17,28,1,0.084
769,16,28,1,0.153
770,15,28,1,0.119
771,14,28,1,0.188
772,13,28,1,0.291
773,12,28,1,0.359
774,11,28,1,0.326
775,10,28,1,0.395
776,9,28,1,0.526
777,8,28,1,0.595
778,7,28,1,0.562
779,6,28,1,0.631
780,5,28,0,0.733
781,4,28,0,0.802
782,3,28,0,0.768
783,2,28,0,0.837
784,1,28,1,0.086
785,1,29,1,0.155
786,2,29,1,0.122
787,3,29,1,0.191
788,4,29,1,0.293
789,5,29,1,0.362
790,6,29,1,0.328
791,7,29,1,0.397
792,8,29,1,0.528
793,9,29,1,0.597
794,10,29,1,0.564
795,11,29,1,0.633
796,12,29,0,0.735
797,13,29,0,0.804
798,14,29,0,0.771
799,15,29,0,0.839
800,16,29,1,0.107
801,17,29,1,0.176
802,18,29,1,0.142
803,19,29,1,0.211
804,20,29,1,0.313
805,21,29,1,0.382
806,22,29,1,0.349
807,23,29,1,0.418
808,24,29,1,0.549
809,25,29,1,0.618
810,26,29,1,0.584
811,27,29,1,0.653
812,28,29,0,0.756
813,29,29,0,0.825
814,29,28,0,0.791
815,29,27,0,0.860
816,29,26,1,0.109
817,29,25,1,0.178
818,29,24,1,0.144
819,29,23,1,0.213
820,29,22,1,0.316
821,29,21,1,0.384
822,29,20,1,0.351
823,29,19,1,0.420
824,29,18,1,0.551
825,29,17,1,0.620
826,29,16,1,0.587
827,29,15,1,0.656
828,29,14,0,0.758
829,29,13,0,0.827
830,29,12,0,0.793
831,29,11,0,0.862
832,29,10,1,0.185
833,29,9,1,0.254
834,29,8,1,0.221
835,29,7,1,0.290
836,29,6,1,0.392
837,29,5,1,0.461
838,29,4,1,0.428
839,29,3,1,0.496
840,29,2,1,0.627
841,29,1,0,0.696
842,30,1,1,0.663
843,30,2,0,0.732
844,30,3,0,0.834
845,30,4,0,0.903
846,30,5,0,0.870
847,30,6,0,0.939
848,30,7,1,0.187
849,30,8,1,0.256
850,30,9,1,0.223
851,30,10,1,0.292
852,30,11,1,0.394
853,30,12,1,0.463
854,30,13,1,0.430
855,30,14,1,0.499
856,30,15,1,0.629
857,30,16,0,0.698
858,30,17,1,0.665
859,30,18,0,0.734
860,30,19,0,0.836
861,30,20,0,0.905
862,30,21,0,0.872
863,30,22,0,0.941
864,30,23,1,0.208
865,30,24,1,0.277
866,30,25,1,0.244
867,30,26,1,0.313
868,30,27,1,0.415
869,30,28,1,0.484
870,30,29,1,0.450
871,30,30,1,0.519
872,29,30,1,0.650
873,28,30,0,0.719
874,27,30,0,0.686
875,26,30,0,0.755
876,25,30,0,0.857
877,24,30,0,0.926
878,23,30,0,0.893
879,22,30,0,0.961
880,21,30,1,0.210
881,20,30,1,0.279
882,19,30,1,0.246
883,18,30,1,0.315
884,17,30,1,0.417
885,16,30,1,0.486
886,15,30,1,0.452
887,14,30,1,0.521
888,13,30,1,0.652
889,12,30,0,0.721
890,11,30,0,0.688
891,10,30,0,0.757
892,9,30,0,0.859
893,8,30,0,0.928
894,7,30,0,0.895
895,6,30,0,0.964
896,5,30,1,0.566
897,4,30,1,0.635
898,3,30,1,0.602
899,2,30,1,0.671
900,1,30,1,0.773
901,1,31,1,0.842
902,2,31,1,0.809
903,3,31,1,0.878
904,4,31,0,1.008
905,5,31,0,1.077
906,6,31,0,1.044
907,7,31,0,1.113
908,8,31,0,1.215
909,9,31,0,1.284
910,10,31,0,1.251
911,11,31,0,1.320
912,12,31,1,0.568
913,13,31,1,0.637
914,14,31,1,0.604
915,15,31,1,0.673
916,16,31,1,0.775
917,17,31,1,0.844
918,18,31,1,0.811
919,19,31,1,0.880
920,20,31,0,1.011
921,21,31,0,1.079
922,22,31,0,1.046
923,23,31,0,1.115
924,24,31,0,1.217
925,25,31,0,1.286
926,26,31,0,1.253
927,27,31,0,1.322
928,28,31,1,0.589
929,29,31,1,0.658
930,30,31,1,0.625
931,31,31,1,0.694
932,31,30,1,0.796
933,31,29,1,0.865
934,31,28,1,0.831
935,31,27,1,0.900
936,31,26,0,1.031
937,31,25,0,1.100
938,31,24,0,1.067
939,31,23,0,1.136
940,31,22,0,1.238
941,31,21,0,1.307
942,31,20,0,1.274
943,31,19,0,1.343
944,31,18,1,0.591
945,31,17,1,0.660
946,31,16,1,0.627
947,31,15,1,0.696
948,31,14,1,0.798
949,31,13,1,0.867
950,31,12,1,0.834
951,31,11,1,0.903
952,31,10,0,1.033
953,31,9,0,1.102
954,31,8,0,1.069
955,31,7,0,1.138
956,31,6,0,1.240
957,31,5,0,1.309
958,31,4,0,1.276
959,31,3,0,1.345
960,31,2,1,0.668
961,31,1,1,0.736
962,32,1,1,0.703
963,32,2,1,0.772
964,32,3,0,0.874
965,32,4,0,0.943
966,32,5,0,0.910
967,32,6,0,0.979
968,32,7,0,1.110
969,32,8,0,1.179
970,32,9,0,1.145
971,32,10,0,1.214
972,32,11,0,1.316
973,32,12,0,1.385
974,32,13,0,1.352
975,32,14,0,1.421
976,32,15,1,0.670
977,32,16,1,0.739
978,32,17,1,0.705
979,32,18,1,0.774
980,32,19,0,0.876
981,32,20,0,0.945
982,32,21,0,0.912
983,32,22,0,0.981
984,32,23,0,1.112
985,32,24,0,1.181
986,32,25,0,1.148
987,32,26,0,1.216
988,32,27,0,1.319
989,32,28,0,1.388
990,32,29,0,1.354
991,32,30,0,1.423
992,32,31,1,0.690
993,32,32,1,0.759
994,31,32,1,0.726
995,30,32,1,0.795
996,29,32,0,0.897
997,28,32,0,0.966
